Name,BackgroundColor
에스프레소,ffdea654
아메리카노,ff8e492b
카페라떼,ffcfab7a
카푸치노,ffa14933
카라멜마끼아또,ffb15316
카페모카,ff692a00
딸기라떼,ffffffffff
흑임자라떼,ffffffffff
곡물라떼,ffffffffff
토피넛라떼,ffffffffff
그린티라떼,ff87b138
고구마라떼,ffc9a211
밀크티라떼,fff2d7b4
초코라떼,fff3e7c8
"케모마일 티",ffffc423
"페퍼민트 티",ffb2d234
"얼그레이 티",ffb45340
자몽차,fff37b7c
"복숭아 아이스티",ffe38381
유자차,ffffd457
딸기주스,ffffffffff
레몬에이드,fff4dc59
자몽에이드,fff47979
청포도에이드,ffc3d72c
오렌지에이드,ffffffffff
자바칩프라페,ff3c2313
쿠앤크프라페,ff8b5e3b
유자스무디,ffeac62a
플레인스무디,ffdebb8f
딸기스무디,ffec657a
블루베리스무디,ffa44398
